ID	TD1	TD2	BM1	TD3	BM2	BM3	TD4	TD5	TD6	BM4	TD7	TD8	BM5	TD9	BM6	BM7	BM8	BM9	TD10	BM10
ID_64	3.58202e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID_79	2.04292e-06	2.73984e-08	1.39625e-06	3.42854e-08	0	4.88819e-06	6.29875e-07	1.55237e-06	6.93127e-07	7.33047e-07	2.39838e-07	6.11936e-08	0	0	0	0	0	9.41372e-06	1.86071e-08	1.02182e-06
ID_192	1.40856e-06	0	0	2.14203e-06	0	0	5.66414e-06	0	2.41158e-07	0	0	0	0	2.48177e-06	6.13593e-06	0	9.24865e-07	0	0	9.37935e-06
ID_229	1.88518e-06	1.22784e-07	5.10934e-06	1.57901e-06	0	5.62913e-06	3.03255e-07	6.72771e-07	7.42401e-07	3.17365e-06	5.35086e-07	1.70952e-07	0	8.66792e-07	6.87833e-06	0	4.91044e-06	0	1.33918e-06	2.31885e-06
ID_266	0	0	0	0	0	6.66234e-07	0	5.64282e-08	0	0	0	0	0	0	2.89274e-07	0	6.81905e-07	0	0	7.32905e-07
ID_336	0	1.40935e-06	0	0	0	0	0	0	0	0	0	0	0	6.96786e-06	0	0	0	0	0	0
ID_414	0	0	0	1.60246e-07	0	0	1.39287e-07	0	0	0	0	2.82942e-07	0	0	0	0	0	0	0	0
ID_431	0	0	0	0	0	0	0	0	0	0	0	2.12848e-07	0	0	0	0	0	0	0	0
ID_432	0	0	2.0124e-06	0	0	0	0	0	0	0	0	0	0	1.42805e-06	0	0	0	0	0	0
ID_484	0	6.83988e-08	2.6873e-07	9.25614e-08	0	0	4.18344e-07	1.4812e-07	2.09663e-07	0	0	2.83951e-07	0	1.68874e-07	1.18451e-06	0	0	0	0	7.51829e-07
ID_718	0	0	0	1.71279e-08	0	0	1.25029e-08	0	0	0	0	0	0	3.16787e-08	0	0	0	0	0	0
ID_922	0	0	0	0	0	0	0	0	0	0	0	9.99245e-08	0	0	0	0	0	0	0	0
ID_976	0	0	0	0	0	0	1.33988e-07	0	0	0	1.75909e-07	0	0	1.25058e-07	0	0	1.13463e-06	0	0	0
ID_1077	0	0	0	0	0	0	0	7.48905e-06	0	0	3.85708e-08	4.07398e-06	0	0	0	0	0	0	0	0
ID_1194	0	0	0	0	0	0	7.20513e-08	0	0	0	0	0	0	0	0	0	0	0	0	0
ID_1205	0	0	0	0	0	0	0	1.13145e-07	3.26179e-08	0	0	1.51991e-07	0	1.19872e-07	7.33609e-07	0	0	0	0	0
ID_1316	0	0	0	0	0	0	0	0	1.27689e-07	6.95905e-07	5.04153e-08	0	0	0	0	0	0	0	0	0
ID_1541	0	0	0	4.80537e-08	0	0	5.36421e-08	5.84307e-08	2.52588e-08	0	3.89021e-08	1.58802e-07	0	1.4846e-07	0	0	0	0	7.19554e-08	2.25904e-07
ID_1900	0	2.62842e-07	0	1.42711e-07	0	0	1.08793e-07	1.76657e-07	1.26645e-07	0	0	8.29782e-08	0	9.02593e-08	0	0	0	0	0	0
ID_1941	0	0	0	6.9006e-08	0	0	0	0	0	0	0	6.14783e-08	0	0	0	0	0	0	1.23852e-07	0
ID_2034	0	0	0	0	0	0	0	5.87049e-08	0	0	0	0	0	0	0	0	0	0	0	0
