ID	TD1	TD2	BM1	TD3	BM2	BM3	TD4	TD5	TD6	BM4	TD7	TD8	BM5	TD9	BM6	BM7	BM8	BM9	TD10	BM10
UniRef50_A0A023VN67: TetR family transcriptional regulator|g__Streptococcus.s__Streptococcus_parasanguinis	1.13325e-05	0.000180255	9.04775e-07	1.78889e-06	7.24616e-07	8.91339e-07	4.82923e-05	2.15169e-05	4.52881e-05	1.50488e-06	1.90188e-05	1.86211e-05	3.86737e-06	2.77592e-06	0	1.79068e-05	2.50134e-07	0	9.92855e-06	2.98125e-07
UniRef50_A0A023Y8X5: AsnC family transcriptional regulator	3.97327e-05	0	1.62415e-06	1.04405e-05	0	2.75886e-06	8.42846e-06	6.19162e-05	2.4221e-05	2.3345e-05	0.000139045	3.63779e-06	4.46059e-06	1.97071e-05	7.14159e-06	0	3.95882e-06	1.28741e-06	6.92195e-07	0
UniRef50_A0A024DDX7: Thiol-disulfide isomerase|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	1.5694e-06	2.62172e-06	3.17145e-06	2.62781e-06	0.00011439	2.00637e-05	2.1646e-07	0	1.02932e-05	6.67398e-06	1.75259e-06	6.05303e-08	1.72563e-05	1.51652e-06	0.000157756	5.3736e-05	3.23351e-06	2.29677e-05	8.99565e-07	8.4813e-05
UniRef50_A0A024DEB1: Transcriptional regulator|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	1.39873e-07	7.63083e-07	7.07623e-06	2.44886e-07	2.16901e-06	2.39832e-06	5.43193e-08	0	4.45901e-06	3.36087e-06	5.59685e-07	0	6.82202e-06	1.44151e-07	3.45838e-05	6.42399e-06	5.0152e-07	1.72109e-05	3.98809e-07	2.28638e-05
UniRef50_A0A024DEP9: 50S ribosomal protein L7/L12	1.40161e-06	5.51326e-07	2.54427e-06	4.45578e-06	1.51493e-05	3.39794e-06	2.39142e-06	0	1.34449e-05	9.73347e-07	4.82066e-06	4.32792e-06	0	6.02912e-06	4.55167e-05	0	4.72356e-07	2.16826e-06	2.59067e-07	1.63918e-05
UniRef50_A0A024DFW2: Glycosyl transferase family 1	1.44921e-05	6.49259e-06	2.27038e-06	8.92926e-06	0	3.23969e-05	3.1194e-06	0	1.85803e-06	3.12333e-05	3.46711e-06	1.93297e-06	1.15402e-06	3.87787e-06	1.02823e-05	3.67665e-06	1.07375e-07	3.05078e-05	1.36686e-05	9.70848e-06
UniRef50_A0A024DGV0: Membrane protein	3.44066e-05	1.08826e-05	0.000212126	1.70713e-05	0.000251163	0.000362731	2.97384e-05	1.28262e-05	4.72031e-05	0.000271119	2.17854e-05	1.45399e-05	0.000237547	1.89707e-05	0.000203134	0.000264806	0.000295359	0.00032241	1.58584e-05	0.000119595
UniRef50_A0A024DH39: Single-stranded DNA-binding protein|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	5.11183e-07	0	5.9334e-06	6.28069e-07	0.000101297	2.89967e-07	2.00243e-07	0	8.06238e-08	3.04272e-05	9.44358e-08	0	4.99851e-06	0	0	1.85355e-05	3.19939e-07	2.18745e-06	0	7.89723e-07
UniRef50_A0A024DH46: ATPase AAA	3.92116e-07	1.08137e-05	8.64063e-06	2.99957e-06	0.000159967	5.62029e-08	1.94686e-07	2.22564e-06	6.68876e-07	3.06582e-05	7.37173e-07	4.16763e-06	5.62008e-06	1.7954e-07	4.92079e-07	2.41783e-05	5.9535e-07	8.81109e-07	1.08105e-06	8.38956e-06
UniRef50_A0A024L767: Formate dehydrogenase, alpha subunit|g__Haemophilus.s__Haemophilus_haemolyticus	4.31206e-07	0	2.46072e-05	2.06792e-07	3.34296e-06	8.26257e-05	0	0	2.87035e-07	3.39823e-05	6.16688e-07	0	2.70973e-05	3.47299e-07	3.93831e-05	5.69213e-07	8.08727e-05	4.02531e-05	7.83509e-07	7.86826e-05
UniRef50_A1AWI7: Octanoyltransferase	0.000218217	1.9522e-05	1.3974e-05	0.000142469	0.000112063	6.52568e-06	3.60092e-05	0.000129206	0.000144035	2.38455e-05	0.000132901	8.51012e-06	6.41229e-06	7.8106e-05	5.79614e-05	4.99832e-06	2.11079e-05	1.30997e-05	0.000108241	2.64515e-05
UniRef50_A1S6D4: Cytidylate kinase|g__Haemophilus.s__Haemophilus_parainfluenzae	0.000120491	1.32799e-05	9.80071e-06	8.76999e-05	3.41142e-05	2.86641e-06	1.99899e-05	6.26678e-05	6.27455e-05	8.69919e-06	2.99467e-05	4.2686e-06	1.92517e-06	4.57476e-05	5.25447e-05	1.56314e-06	1.05372e-05	8.07832e-06	8.31095e-05	2.35579e-05
UniRef50_A1U1Z4: Glyceraldehyde-3-phosphate dehydrogenase, type I	1.26553e-05	3.85527e-05	2.02363e-06	5.12967e-05	7.92198e-06	1.52729e-06	2.08477e-05	2.21139e-05	2.02102e-05	1.45586e-05	4.28176e-05	1.00401e-05	2.27643e-05	3.99883e-06	3.77969e-06	1.00398e-05	1.71366e-06	3.84341e-06	1.50483e-05	1.50245e-05
UniRef50_A2RFC7: ATP synthase subunit a|g__Streptococcus.s__Streptococcus_infantis	3.33117e-05	7.5183e-06	2.10013e-06	1.33399e-05	1.57604e-06	2.41296e-06	1.62685e-05	1.14316e-05	3.13717e-05	1.16196e-05	1.23236e-05	1.22378e-05	6.67e-06	8.96522e-06	6.01552e-05	7.48811e-06	1.4343e-06	1.75046e-05	9.44382e-06	1.54727e-05
